"codLinea","codLineaStr","codLineaStrSin","userCodLinea","nombreLinea","observaciones","cabeceraIda","cabeceraVuelta","avisoSinHorarioEs","avisoSinHorarioEn","tagsAccesibilidad","linea","sentido","orden","espera","fechaInicioDemanda","fechaFinDemanda","codParada","nombreParada","direccion","lon","lat","lineas"
"1.0","1","1","1","Parque del Sur - Alameda Principal - San Andrés","Elim¡nación parada 1210","Parque del Sur","San Andrés","","","","","1","1","","","","152","Av. de las Postas - Lorenza Correa","AV POSTAS S/N","-4.4222507","36.737835",""
"1.0","1","1","1","Parque del Sur - Alameda Principal - San Andrés","Elim¡nación parada 1210","Parque del Sur","San Andrés","","","","","1","2","","","","153","Emilio Díaz","CL EMILIO DÍAZ  31","-4.4235854","36.73573",""
"1.0","1","1","1","Parque del Sur - Alameda Principal - San Andrés","Elim¡nación parada 1210","Parque del Sur","San Andrés","","","","","1","3","","","","154","San Juan Bosco - Albéniz","CL SAN JUAN BOSCO Fte. 80","-4.422321","36.734028",""
"1.0","1","1","1","Parque del Sur - Alameda Principal - San Andrés","Elim¡nación parada 1210","Parque del Sur","San Andrés","","","","","1","4","","","","155","San Juan Bosco - Segalerva","CL SAN JUAN BOSCO 21","-4.4218493","36.732384",""
"1.0","1","1","1","Parque del Sur - Alameda Principal - San Andrés","Elim¡nación parada 1210","Parque del Sur","San Andrés","","","","","1","5","","","","1354","Eduardo Domínguez Ávila","CL EDUARDO DOMINGUEZ AVILA 7","-4.4214997","36.730183",""
"1.0","1","1","1","Parque del Sur - Alameda Principal - San Andrés","Elim¡nación parada 1210","Parque del Sur","San Andrés","","","","","1","6","","","","156","Plaza de Capuchinos","ALMD CAPUCHINOS 6","-4.4204803","36.72956",""
"1.0","1","1","1","Parque del Sur - Alameda Principal - San Andrés","Elim¡nación parada 1210","Parque del Sur","San Andrés","","","","","1","7","","","","157","Alameda de Capuchinos - El Ejido","ALMD CAPUCHINOS 38","-4.419164","36.73055",""
"1.0","1","1","1","Parque del Sur - Alameda Principal - San Andrés","Elim¡nación parada 1210","Parque del Sur","San Andrés","","","","","1","8","","","","158","Alameda de Capuchinos","ALMD CAPUCHINOS 78","-4.417219","36.73202",""
"1.0","1","1","1","Parque del Sur - Alameda Principal - San Andrés","Elim¡nación parada 1210","Parque del Sur","San Andrés","","","","","1","9","","","","159","Cristo de la Epidemia - Fuente Olletas","CL CRISTO DE LA EPIDEMIA 93","-4.4155602","36.732513",""
"1.0","1","1","1","Parque del Sur - Alameda Principal - San Andrés","Elim¡nación parada 1210","Parque del Sur","San Andrés","","","","","1","10","","","","160","Cristo de la Epidemia - Tejeros","CL CRISTO DE LA EPIDEMIA 49","-4.4147544","36.72929",""
