route_id,service_id,trip_id,trip_headsign,direction_id,shape_id
1,LN,0L1S1V1,San Andrés,0,1IDA
1,LN,0L1S1V2,Parque del Sur,1,1VTA
1,LN,0L1S1V3,San Andrés,0,1IDA
1,LN,0L1S1V4,Parque del Sur,1,1VTA
1,LN,0L1S1V5,San Andrés,0,1IDA
1,LN,0L1S1V6,Parque del Sur,1,1VTA
1,LN,0L1S1V7,San Andrés,0,1IDA
1,LN,0L1S1V8,Parque del Sur,1,1VTA
1,LN,0L1S1V9,San Andrés,0,1IDA
1,LN,0L1S1V10,Parque del Sur,1,1VTA
1,LN,0L1S1V11,San Andrés,0,1IDA
1,LN,0L1S1V12,Parque del Sur,1,1VTA
1,LN,0L1S1V13,San Andrés,0,1IDA
1,LN,0L1S1V14,Parque del Sur,1,1VTA
1,LN,0L1S1V15,San Andrés,0,1IDA
1,LN,0L1S1V16,Parque del Sur,1,1VTA
1,LN,0L1S1V17,San Andrés,0,1IDA
1,LN,0L1S1V18,Parque del Sur,1,1VTA
1,LN,0L1S2V1,San Andrés,0,1IDA
1,LN,0L1S2V2,Parque del Sur,1,1VTA
1,LN,0L1S2V3,San Andrés,0,1IDA
1,LN,0L1S2V4,Parque del Sur,1,1VTA
1,LN,0L1S2V5,San Andrés,0,1IDA
1,LN,0L1S2V6,Parque del Sur,1,1VTA
1,LN,0L1S2V7,San Andrés,0,1IDA
1,LN,0L1S2V8,Parque del Sur,1,1VTA
1,LN,0L1S2V9,San Andrés,0,1IDA
1,LN,0L1S2V10,Parque del Sur,1,1VTA
1,LN,0L1S2V11,San Andrés,0,1IDA
1,LN,0L1S2V12,Parque del Sur,1,1VTA
1,LN,0L1S2V13,San Andrés,0,1IDA
1,LN,0L1S2V14,Parque del Sur,1,1VTA
1,LN,0L1S2V15,San Andrés,0,1IDA
1,LN,0L1S3V1,Parque del Sur,1,1VTA
1,LN,0L1S3V2,San Andrés,0,1IDA
1,LN,0L1S3V3,Parque del Sur,1,1VTA
1,LN,0L1S3V4,San Andrés,0,1IDA
1,LN,0L1S3V5,Parque del Sur,1,1VTA
1,LN,0L1S3V6,San Andrés,0,1IDA
1,LN,0L1S3V7,Parque del Sur,1,1VTA
1,LN,0L1S3V8,San Andrés,0,1IDA
1,LN,0L1S3V9,Parque del Sur,1,1VTA
1,LN,0L1S3V10,San Andrés,0,1IDA
1,LN,0L1S3V11,Parque del Sur,1,1VTA
1,LN,0L1S3V12,San Andrés,0,1IDA
1,LN,0L1S3V13,Parque del Sur,1,1VTA
1,LN,0L1S3V14,San Andrés,0,1IDA
1,LN,0L1S3V15,Parque del Sur,1,1VTA
1,LN,0L1S3V16,San Andrés,0,1IDA
1,LN,0L1S3V17,Parque del Sur,1,1VTA
1,LN,0L1S4V1,San Andrés,0,1IDA
1,LN,0L1S4V2,Parque del Sur,1,1VTA
1,LN,0L1S4V3,San Andrés,0,1IDA
1,LN,0L1S4V4,Parque del Sur,1,1VTA
1,LN,0L1S4V5,San Andrés,0,1IDA
1,LN,0L1S4V6,Parque del Sur,1,1VTA
1,LN,0L1S4V7,San Andrés,0,1IDA
1,LN,0L1S4V8,Parque del Sur,1,1VTA
1,LN,0L1S4V9,San Andrés,0,1IDA
1,LN,0L1S4V10,Parque del Sur,1,1VTA
1,LN,0L1S4V11,San Andrés,0,1IDA
1,LN,0L1S4V12,Parque del Sur,1,1VTA
1,LN,0L1S4V13,San Andrés,0,1IDA
1,LN,0L1S5V1,Parque del Sur,1,1VTA
1,LN,0L1S5V2,San Andrés,0,1IDA
1,LN,0L1S5V3,Parque del Sur,1,1VTA
1,LN,0L1S5V4,San Andrés,0,1IDA
1,LN,0L1S5V5,Parque del Sur,1,1VTA
1,LN,0L1S5V6,San Andrés,0,1IDA
1,LN,0L1S5V7,Parque del Sur,1,1VTA
1,LN,0L1S5V8,San Andrés,0,1IDA
1,LN,0L1S5V9,Parque del Sur,1,1VTA
1,LN,0L1S5V10,San Andrés,0,1IDA
1,LN,0L1S5V11,Parque del Sur,1,1VTA
1,LN,0L1S5V12,San Andrés,0,1IDA
1,LN,0L1S5V13,Parque del Sur,1,1VTA
1,LN,0L1S5V14,San Andrés,0,1IDA
1,LN,0L1S5V15,Parque del Sur,1,1VTA
1,LN,0L1S5V16,San Andrés,0,1IDA
1,LN,0L1S6V1,San Andrés,0,1IDA
1,LN,0L1S6V2,Parque del Sur,1,1VTA
1,LN,0L1S6V3,San Andrés,0,1IDA
1,LN,0L1S6V4,Parque del Sur,1,1VTA
1,LN,0L1S6V5,San Andrés,0,1IDA
1,LN,0L1S6V6,Parque del Sur,1,1VTA
1,LN,0L1S6V7,San Andrés,0,1IDA
1,LN,0L1S6V8,Parque del Sur,1,1VTA
1,LN,0L1S6V9,San Andrés,0,1IDA
1,LN,0L1S6V10,Parque del Sur,1,1VTA
1,LN,0L1S6V11,San Andrés,0,1IDA
1,LN,0L1S7V1,San Andrés,0,1IDA
1,LN,0L1S7V2,Parque del Sur,1,1VTA
1,LN,0L1S7V3,San Andrés,0,1IDA
1,LN,0L1S7V4,Parque del Sur,1,1VTA
1,LN,0L1S7V5,San Andrés,0,1IDA
1,LN,0L1S8V1,Parque del Sur,1,1VTA
1,LN,0L1S8V2,San Andrés,0,1IDA
1,LN,0L1S8V3,Parque del Sur,1,1VTA
1,LN,0L1S8V4,San Andrés,0,1IDA
1,LN,0L1S8V5,Parque del Sur,1,1VTA
1,LN,0L1S8V6,San Andrés,0,1IDA
1,LN,0L1S8V7,Parque del Sur,1,1VTA
1,LN,0L1S8V8,San Andrés,0,1IDA
1,LN,0L1S8V9,Parque del Sur,1,1VTA
1,LN,0L1S8V10,San Andrés,0,1IDA
1,LN,0L1S8V11,Parque del Sur,1,1VTA
1,LN,0L1S8V12,San Andrés,0,1IDA
1,LN,0L1S8V13,Parque del Sur,1,1VTA
1,LN,0L1S8V14,San Andrés,0,1IDA
1,LN,0L1S8V15,Parque del Sur,1,1VTA
1,LN,0L1S9V1,San Andrés,0,1IDA
1,LN,0L1S9V2,Parque del Sur,1,1VTA
1,LN,0L1S9V3,San Andrés,0,1IDA
1,LN,0L1S9V4,Parque del Sur,1,1VTA
1,LN,0L1S9V5,San Andrés,0,1IDA
1,LN,0L1S9V6,Parque del Sur,1,1VTA
1,LN,0L1S9V7,San Andrés,0,1IDA
1,LN,0L1S9V8,Parque del Sur,1,1VTA
1,LN,0L1S9V9,San Andrés,0,1IDA
1,LN,0L1S9V10,Parque del Sur,1,1VTA
1,LN,0L1S9V11,San Andrés,0,1IDA
1,LN,0L1S9V12,Parque del Sur,1,1VTA
1,LN,0L1S9V13,San Andrés,0,1IDA
1,LN,0L1S9V14,Parque del Sur,1,1VTA
1,LN,0L1S9V15,San Andrés,0,1IDA
1,LN,0L1S9V16,Parque del Sur,1,1VTA
1,LN,0L1S9V17,San Andrés,0,1IDA
1,LN,0L1S10V1,Parque del Sur,1,1VTA
1,LN,0L1S10V2,San Andrés,0,1IDA
1,LN,0L1S10V3,Parque del Sur,1,1VTA
1,LN,0L1S10V4,San Andrés,0,1IDA
1,LN,0L1S11V1,San Andrés,0,1IDA
1,LN,0L1S11V2,Parque del Sur,1,1VTA
1,LN,0L1S11V3,San Andrés,0,1IDA
1,LN,0L1S11V4,Parque del Sur,1,1VTA
1,LN,0L1S11V5,San Andrés,0,1IDA
1,LN,0L1S11V6,Parque del Sur,1,1VTA
1,LN,0L1S11V7,San Andrés,0,1IDA
1,LN,0L1S11V8,Parque del Sur,1,1VTA
1,LN,0L1S11V9,San Andrés,0,1IDA
1,LN,0L1S11V10,Parque del Sur,1,1VTA
1,LN,0L1S11V11,San Andrés,0,1IDA
1,LN,0L1S11V12,Parque del Sur,1,1VTA
1,LN,0L1S11V13,San Andrés,0,1IDA
1,LN,0L1S11V14,Parque del Sur,1,1VTA
1,LN,0L1S11V15,San Andrés,0,1IDA
1,LN,0L1S12V1,Parque del Sur,1,1VTA
1,LN,0L1S12V2,San Andrés,0,1IDA
1,LN,0L1S12V3,Parque del Sur,1,1VTA
1,LN,0L1S12V4,San Andrés,0,1IDA
1,LN,0L1S12V5,Parque del Sur,1,1VTA
1,LN,0L1S12V6,San Andrés,0,1IDA
1,LN,0L1S12V7,Parque del Sur,1,1VTA
1,LN,0L1S12V8,San Andrés,0,1IDA
1,LN,0L1S12V9,Parque del Sur,1,1VTA
1,LN,0L1S12V10,San Andrés,0,1IDA
1,LN,0L1S12V11,Parque del Sur,1,1VTA
1,LN,0L1S12V12,San Andrés,0,1IDA
1,LN,0L1S12V13,Parque del Sur,1,1VTA
1,LN,0L1S12V14,San Andrés,0,1IDA
1,LN,0L1S13V1,San Andrés,0,1IDA
1,LN,0L1S13V2,Parque del Sur,1,1VTA
1,LN,0L1S13V3,San Andrés,0,1IDA
1,LN,0L1S13V4,Parque del Sur,1,1VTA
1,LN,0L1S13V5,San Andrés,0,1IDA
1,LN,0L1S13V6,Parque del Sur,1,1VTA
1,LN,0L1S13V7,San Andrés,0,1IDA
1,LN,0L1S13V8,Parque del Sur,1,1VTA
1,LN,0L1S13V9,San Andrés,0,1IDA
1,LN,0L1S13V10,Parque del Sur,1,1VTA
1,LN,0L1S13V11,San Andrés,0,1IDA
1,LN,0L1S13V12,Parque del Sur,1,1VTA
1,LN,0L1S13V13,San Andrés,0,1IDA
1,LN,0L1S13V14,Parque del Sur,1,1VTA
1,LN,0L1S13V15,San Andrés,0,1IDA
1,LN,0L1S13V16,Parque del Sur,1,1VTA
1,LN,0L1S14V1,Parque del Sur,1,1VTA
1,LN,0L1S14V2,San Andrés,0,1IDA
1,LN,0L1S14V3,Parque del Sur,1,1VTA
1,LN,0L1S14V4,San Andrés,0,1IDA
1,LN,0L1S14V5,Parque del Sur,1,1VTA
1,LN,0L1S14V6,San Andrés,0,1IDA
1,LN,0L1S14V7,Parque del Sur,1,1VTA
1,LN,0L1S14V8,San Andrés,0,1IDA
1,LN,0L1S14V9,Parque del Sur,1,1VTA
1,LN,0L1S14V10,San Andrés,0,1IDA
1,LN,0L1S14V11,Parque del Sur,1,1VTA
1,LN,0L1S15V1,Parque del Sur,1,1VTA
1,LN,0L1S15V2,San Andrés,0,1IDA
1,LN,0L1S15V3,Parque del Sur,1,1VTA
1,LN,0L1S15V4,San Andrés,0,1IDA
1,LN,0L1S15V5,Parque del Sur,1,1VTA
1,LN,0L1S15V6,San Andrés,0,1IDA
1,LN,0L1S15V7,Parque del Sur,1,1VTA
1,LN,0L1S15V8,San Andrés,0,1IDA
1,LN,0L1S15V9,Parque del Sur,1,1VTA
1,LN,0L1S15V10,San Andrés,0,1IDA
1,LN,0L1S16V1,Parque del Sur,1,1VTA
1,LN,0L1S16V2,San Andrés,0,1IDA
1,LN,0L1S17V1,Parque del Sur,1,1VTA
1,LN,0L1S17V2,San Andrés,0,1IDA
1,LN,0L1S17V3,Parque del Sur,1,1VTA
1,LN,0L1S17V4,San Andrés,0,1IDA
1,LN,0L1S17V5,Parque del Sur,1,1VTA
1,LN,0L1S17V6,San Andrés,0,1IDA
1,LN,0L1S17V7,Parque del Sur,1,1VTA
1,LN,0L1S17V8,San Andrés,0,1IDA
1,LN,0L1S18V1,San Andrés,0,1IDA
1,LN,0L1S18V2,Parque del Sur,1,1VTA
2,LN,0L2S1V1,Ciudad Jardín,0,2IDA
2,LN,0L2S1V2,Alameda Principal,1,2VTA
2,LN,0L2S1V3,Ciudad Jardín,0,2IDA
2,LN,0L2S2V1,Alameda Principal,1,2VTA
2,LN,0L2S2V2,Ciudad Jardín,0,2IDA
2,LN,0L2S2V3,Alameda Principal,1,2VTA
2,LN,0L2S2V4,Ciudad Jardín,0,2IDA
2,LN,0L2S2V5,Alameda Principal,1,2VTA
2,LN,0L2S2V6,Ciudad Jardín,0,2IDA
2,LN,0L2S2V7,Alameda Principal,1,2VTA
2,LN,0L2S2V8,Ciudad Jardín,0,2IDA
2,LN,0L2S2V9,Alameda Principal,1,2VTA
2,LN,0L2S2V10,Ciudad Jardín,0,2IDA
2,LN,0L2S2V11,Alameda Principal,1,2VTA
2,LN,0L2S2V12,Ciudad Jardín,0,2IDA
2,LN,0L2S2V13,Alameda Principal,1,2VTA
2,LN,0L2S2V14,Ciudad Jardín,0,2IDA
2,LN,0L2S2V15,Alameda Principal,1,2VTA
2,LN,0L2S2V16,Ciudad Jardín,0,2IDA
2,LN,0L2S2V17,Alameda Principal,1,2VTA
2,LN,0L2S2V18,Ciudad Jardín,0,2IDA
2,LN,0L2S2V19,Alameda Principal,1,2VTA
2,LN,0L2S2V20,Ciudad Jardín,0,2IDA
2,LN,0L2S2V21,Alameda Principal,1,2VTA
2,LN,0L2S2V22,Ciudad Jardín,0,2IDA
2,LN,0L2S2V23,Alameda Principal,1,2VTA
2,LN,0L2S2V24,Ciudad Jardín,0,2IDA
2,LN,0L2S2V25,Alameda Principal,1,2VTA
2,LN,0L2S2V26,Ciudad Jardín,0,2IDA
2,LN,0L2S2V27,Alameda Principal,1,2VTA
2,LN,0L2S2V28,Ciudad Jardín,0,2IDA
2,LN,0L2S2V29,Alameda Principal,1,2VTA
2,LN,0L2S2V30,Ciudad Jardín,0,2IDA
2,LN,0L2S2V31,Alameda Principal,1,2VTA
2,LN,0L2S2V32,Ciudad Jardín,0,2IDA
2,LN,0L2S2V33,Alameda Principal,1,2VTA
2,LN,0L2S2V34,Ciudad Jardín,0,2IDA
2,LN,0L2S2V35,Alameda Principal,1,2VTA
2,LN,0L2S2V36,Ciudad Jardín,0,2IDA
2,LN,0L2S2V37,Alameda Principal,1,2VTA
2,LN,0L2S2V38,Ciudad Jardín,0,2IDA
2,LN,0L2S3V1,Alameda Principal,1,2VTA
2,LN,0L2S3V2,Ciudad Jardín,0,2IDA
2,LN,0L2S3V3,Alameda Principal,1,2VTA
2,LN,0L2S3V4,Ciudad Jardín,0,2IDA
2,LN,0L2S3V5,Alameda Principal,1,2VTA
2,LN,0L2S3V6,Ciudad Jardín,0,2IDA
2,LN,0L2S3V7,Alameda Principal,1,2VTA
2,LN,0L2S3V8,Ciudad Jardín,0,2IDA
2,LN,0L2S3V9,Alameda Principal,1,2VTA
2,LN,0L2S3V10,Ciudad Jardín,0,2IDA
2,LN,0L2S3V11,Alameda Principal,1,2VTA
2,LN,0L2S3V12,Ciudad Jardín,0,2IDA
2,LN,0L2S3V13,Alameda Principal,1,2VTA
2,LN,0L2S3V14,Ciudad Jardín,0,2IDA
2,LN,0L2S3V15,Alameda Principal,1,2VTA
2,LN,0L2S3V16,Ciudad Jardín,0,2IDA
2,LN,0L2S3V17,Alameda Principal,1,2VTA
2,LN,0L2S3V18,Ciudad Jardín,0,2IDA
2,LN,0L2S3V19,Alameda Principal,1,2VTA
2,LN,0L2S3V20,Ciudad Jardín,0,2IDA
2,LN,0L2S3V21,Alameda Principal,1,2VTA
2,LN,0L2S3V22,Ciudad Jardín,0,2IDA
2,LN,0L2S3V23,Alameda Principal,1,2VTA
2,LN,0L2S3V24,Ciudad Jardín,0,2IDA
2,LN,0L2S3V25,Alameda Principal,1,2VTA
2,LN,0L2S3V26,Ciudad Jardín,0,2IDA
2,LN,0L2S3V27,Alameda Principal,1,2VTA
2,LN,0L2S3V28,Ciudad Jardín,0,2IDA
2,LN,0L2S3V29,Alameda Principal,1,2VTA
2,LN,0L2S3V30,Ciudad Jardín,0,2IDA
2,LN,0L2S3V31,Alameda Principal,1,2VTA
2,LN,0L2S3V32,Ciudad Jardín,0,2IDA
2,LN,0L2S3V33,Alameda Principal,1,2VTA
2,LN,0L2S3V34,Ciudad Jardín,0,2IDA
2,LN,0L2S3V35,Alameda Principal,1,2VTA
2,LN,0L2S4V1,Alameda Principal,1,2VTA
2,LN,0L2S4V2,Ciudad Jardín,0,2IDA
2,LN,0L2S4V3,Alameda Principal,1,2VTA
2,LN,0L2S4V4,Ciudad Jardín,0,2IDA
2,LN,0L2S4V5,Alameda Principal,1,2VTA
2,LN,0L2S4V6,Ciudad Jardín,0,2IDA
2,LN,0L2S4V7,Alameda Principal,1,2VTA
2,LN,0L2S4V8,Ciudad Jardín,0,2IDA
2,LN,0L2S4V9,Alameda Principal,1,2VTA
2,LN,0L2S4V10,Ciudad Jardín,0,2IDA
2,LN,0L2S4V11,Alameda Principal,1,2VTA
2,LN,0L2S4V12,Ciudad Jardín,0,2IDA
2,LN,0L2S4V13,Alameda Principal,1,2VTA
2,LN,0L2S4V14,Ciudad Jardín,0,2IDA
2,LN,0L2S4V15,Alameda Principal,1,2VTA
2,LN,0L2S4V16,Ciudad Jardín,0,2IDA
2,LN,0L2S4V17,Alameda Principal,1,2VTA
2,LN,0L2S4V18,Ciudad Jardín,0,2IDA
2,LN,0L2S4V19,Alameda Principal,1,2VTA
2,LN,0L2S4V20,Ciudad Jardín,0,2IDA
2,LN,0L2S4V21,Alameda Principal,1,2VTA
2,LN,0L2S4V22,Ciudad Jardín,0,2IDA
2,LN,0L2S4V23,Alameda Principal,1,2VTA
2,LN,0L2S4V24,Ciudad Jardín,0,2IDA
2,LN,0L2S4V25,Alameda Principal,1,2VTA
2,LN,0L2S4V26,Ciudad Jardín,0,2IDA
2,LN,0L2S4V27,Alameda Principal,1,2VTA
2,LN,0L2S4V28,Ciudad Jardín,0,2IDA
2,LN,0L2S4V29,Alameda Principal,1,2VTA
2,LN,0L2S4V30,Ciudad Jardín,0,2IDA
2,LN,0L2S4V31,Alameda Principal,1,2VTA
2,LN,0L2S4V32,Ciudad Jardín,0,2IDA
2,LN,0L2S4V33,Alameda Principal,1,2VTA
2,LN,0L2S4V34,Ciudad Jardín,0,2IDA
2,LN,0L2S4V35,Alameda Principal,1,2VTA
2,LN,0L2S4V36,Ciudad Jardín,0,2IDA
2,LN,0L2S4V37,Alameda Principal,1,2VTA
2,LN,0L2S4V38,Ciudad Jardín,0,2IDA
2,LN,0L2S4V39,Alameda Principal,1,2VTA
